No. Rekening,=,4491150000,,,
Nama,=,USAHA JAYA CV,,,
Mata Uang,=,IDR,,,
,,,,,
Tanggal,Keterangan,Cabang, Jumlah ,, Saldo 
'04/09,TRSF E-BANKING DB 0409/FTSCY/WS95011        akomodasi proyek,'0449,"500,000",DB,"56,392,000"
'05/09,TRSF E-BANKING DB 0509/FTSCY/WS95011         beli tiket semarang,'0449,"701,830",DB,"55,690,170"
'08/09,BYR VIA E-BANKING TANGGAL :06/09    06/09  WSID95011001200 SIMPATI,'0998,"100,000",DB,"55,590,170"
'08/09,TRSF E-BANKING CR 0809/FTSCY/WS95011       Jasa Katering an Fauziah,'0008,"76,000,000",CR,"131,590,170"
'08/09,TARIKAN ATM TARIKAN ATM 08/09,'0998,"1,000,000",DB,"130,590,170"
'12/09,SETORAN TUNAI CV BERDIKARI,'0009,"15,000,000",CR,"145,590,170"
'17/09,TRSF E-BANKING DB 1709/FTSCY/WS95011         akomodasi proyek,'0449,"250,000",DB,"145,340,170"
'19/09,KARTU KREDIT 0100 BCA CARD  ,'0998,"10,000,000",DB,"135,340,170"
'19/09,BIAYA ADM ,'0000,"13,000",DB,"135,327,170"
'22/09,BIAYA KARTU ATM BIAYA KARTU ATM,'8320,"15,000",DB,"135,312,170"
'22/09,TRSF E-BANKING DB 2009/FTSCY/WS95011       akomodasi proyek,'0449,"1,722,600",DB,"133,589,570"
'23/09,ND-PROVISI BY SET ANTAR CAB,'8320,"5,000",DB,"133,584,570"
'23/09,TRSF E-BANKING DB 2309/FTSCY/WS95011       Gaji Karyawan,'0449,"45,000,000",DB,"88,584,570"
'30/09,BUNGA ,'0000,"62,154",CR,"88,646,724"
'30/09,PAJAK BUNGA ,'0000,"12,431",DB,"88,634,293"
Saldo Awal,=,"56,892,000",,,
Kredit,=,"91,062,154",,,
Debet,=,"59,319,861",,,
Saldo Akhir,=,"88,634,293",,,
